label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv
1,26,6,0.230769,4,4,3,0.26087,14,0.538462,0.0434783,0,2,3.45565,1,0,1,0,0,1,119.667,0.471405,539,2192,1689,55.9172
1,8,1,0.125,1,3,2,0.285714,4,0.5,0.142857,0,2,2.25,1,1,0,3,0.666667,1,10799.7,0.471405,49,0,0,18.9903
1,21,6,0.285714,3,11,8,0.6,4,0.190476,0.05,0,1,3.55852,1,0,1,0,0,1,0,0,0,0,0,146.79
1,13,0,0,0,0,0,0,10,0.769231,0,3,1,2.66123,0,0,0,0,0,0,0,0,0,0,0,-0.36257
1,8,0,0,0,0,0,0,8,1,0,0,0,2.15564,0,0,0,0,0,0,0,0,0,0,0,-2.75489
1,7,2,0.285714,2,2,2,0.333333,3,0.428571,0.166667,0,1,2.80735,1,0,1,2,1,1,55.6667,5.4365,38,365,0,21.1828
1,35,1,0.0285714,1,7,6,0.0606061,24,0.685714,0.0909091,2,1,4.03315,2,0,0,0,0,1,299.667,0.471405,19,1096,769,-0.687938
1,10,3,0.3,3,4,3,0.666667,3,0.3,0.111111,0,1,3.12193,2,0,1,2,1,2,199.667,141.186,215,365,126,27.0073
1,19,7,0.368421,3,10,7,0.611111,2,0.105263,0.0555556,0,1,3.36609,1,2,1,2,1,1,14399.7,0.471405,1600,3287,1461,186.868
1,19,0,0,0,0,0,0,15,0.789474,0,3,1,3.15557,0,0,0,0,0,0,0,0,0,0,0,1.152
1,6,0,0,0,1,1,0,5,0.833333,0.4,0,1,2.25163,0,0,0,0,0,0,0,0,0,0,0,0.415037
1,11,0,0,0,0,0,0,11,1,0,0,0,2.66353,0,0,0,0,0,0,0,0,0,0,0,4.07484
1,8,0,0,0,0,0,0,8,1,0,0,0,2.15564,0,0,0,0,0,0,0,0,0,0,0,4.28129
1,14,0,0,0,0,0,0,14,1,0,0,0,2.84237,0,0,0,0,0,0,0,0,0,0,0,7.95613
1,8,0,0,0,0,0,0,8,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.152
1,3,0,0,0,0,0,0,3,1,0,0,0,1.58496,1,2,1,3,0.825397,1,899.667,0.471405,464,731,362,3.5025
1,19,4,0.210526,4,4,4,0.411765,10,0.526316,0.0588235,0,1,3.89241,6,0,1,0,0,2,199.667,141.186,127,0,0,30.288
1,12,2,0.166667,2,5,4,0.181818,5,0.416667,0.363636,0,1,3.25163,0,0,0,0,0,0,0,0,0,0,0,-2.33985
1,5,0,0,0,3,3,0,2,0.4,0.25,0,1,2.32193,0,0,0,0,0,0,0,0,0,0,0,3.05889
1,7,0,0,0,0,0,0,7,1,0,0,0,2.52164,0,0,0,0,0,0,0,0,0,366,366,-1.11103
1,7,0,0,0,0,0,0,7,1,0,0,0,2.52164,0,0,0,0,0,0,0,0,0,731,366,-1.11103
1,9,1,0.111111,1,5,4,0.285714,2,0.222222,0.142857,0,2,2.9477,4,0,4,0,0,1,57.3333,3.09121,0,4383,2049,8.54432
1,8,1,0.125,1,4,3,0.285714,3,0.375,0.142857,0,1,2.75,0,0,0,0,0,0,0,0,0,0,0,12.4453
1,6,0,0,0,0,0,0,6,1,0,0,0,1.9183,3,0,1,2,1,2,39.3333,27.8129,208,2192,1719,2.41504
1,20,1,0.05,1,6,5,0.111111,11,0.55,0.166667,1,1,3.82193,1,1,1,4,0.870945,1,599.667,0.471405,42,5479,5479,8.4126
1,7,0,0,0,0,0,0,7,1,0,0,0,2.52164,1,0,0,2,1,1,3599.67,0.471405,299,4383,3638,-2.16993
1,20,2,0.1,2,5,5,0.166667,11,0.55,0.166667,1,1,3.98418,0,0,0,0,0,0,0,0,1610,5479,5479,13.3187
1,23,3,0.130435,2,8,7,0.285714,10,0.434783,0.142857,1,1,4.17574,0,0,0,0,0,0,0,0,1610,5479,5479,30.1635
1,5,3,0.6,3,0,0,0,2,0.4,0.25,0,1,2.32193,0,0,0,0,0,0,0,0,0,0,0,1
1,12,4,0.333333,3,7,7,0.727273,1,0.0833333,0.0909091,0,1,3.4183,2,0,0,2,1,1,4899.67,3252.46,15,1096,359,127.743
1,17,2,0.117647,2,7,7,0.2,7,0.411765,0.466667,0,1,3.96982,0,0,0,0,0,0,0,0,0,0,0,4.99963
1,26,3,0.115385,2,8,6,0.208333,14,0.538462,0.291667,0,1,3.82525,2,1,2,2,1,2,599.667,424.029,41,731,341,34.2731
1,7,0,0,0,4,1,0,3,0.428571,0.666667,0,2,0.985228,0,0,0,0,0,0,0,0,0,0,0,-6.75489
1,9,3,0.333333,3,4,4,0.428571,1,0.111111,0.142857,0,1,3.16993,2,0,3,0,0,1,29.6667,0.471405,0,3287,2906,23.0242
1,8,3,0.375,2,4,4,0.571429,1,0.125,0.142857,0,1,2.75,0,0,0,0,0,0,0,0,0,0,0,55.619
